Description;rules
Possible errors: For imports, certain product codes are checked every month which have a history of errors (jet fuel and oil);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '27101912' AND Customs tariff number (HS6+2) < '27101940'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (aluminum oxide);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '28182000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (fluorine in varius versions);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '28261200' AND Customs tariff number (HS6+2) < '28263000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (coal chemical blamed dough í electrode and similar dough in kiln lining);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '38013000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (raw tree logs or timber in staves, stakes);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44031000' AND Customs tariff number (HS6+2) < '44042000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (floor coverings from tree);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44071009' AND Customs tariff number (HS6+2) < '44089000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (floor coverings from tree);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44121309' AND Customs tariff number (HS6+2) < '44121409'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (plywood and boards from plywood);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44121909' AND Customs tariff number (HS6+2) < '44122209'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (floor coverings from plywood);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44122909' AND Customs tariff number (HS6+2) < '44129209'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (floor coverings from tree(plywood, block plate));RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '44129309' AND Customs tariff number (HS6+2) < '44129909'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (nuclear reactor);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '84011000' AND Customs tariff number (HS6+2) < '84014000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (lawn mower and other hay equipment);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '84331100' AND Customs tariff number (HS6+2) < '84336000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (electrode for furnaces);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '85451100'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (miscellaneous cars);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '87011000' AND Customs tariff number (HS6+2) < '87059029'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (mechanically scooter and other motorcycles);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '87111000' AND Customs tariff number (HS6+2) < '87115000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (bikes and other bikes without mechanic);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '87120000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (caravan, campers and tent trailers new and old);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '87161000' AND Customs tariff number (HS6+2) < '87162009'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (flying robots and small airplanes);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '88011000' AND Customs tariff number (HS6+2) < '88026000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (ship of any kinds);Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow ='M' AND (Cif value<(VM_M/3) OR (Cif value>(3*VM_M)))) OR (M.Flow ='X' AND (Fob value<(VM_M/3) OR (Fob value>(3*VM_M)))))
Possible errors: For imports, certain product codes are checked every month which have a history of errors (telescopes, instant cameras and other cameras);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '90051000' AND Customs tariff number (HS6+2) < '90065900'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (watches);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '91011100' AND Customs tariff number (HS6+2) < '91029900'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (pianos, grand pianos and harpsichords);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '92011000' AND Customs tariff number (HS6+2) < '92019000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (electric piano and -organ);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '92071001' AND Customs tariff number (HS6+2) < '92071002'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (sport-, hunting- and goal kick shotgun);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '93032000' AND Customs tariff number (HS6+2) < '93033000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (Collectibles(painting etc));RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '97011000' AND Customs tariff number (HS6+2) < '97060000'
Warning: The record is over Transfer over ISK 1 million cif for import or fob for export;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND (Cif value > '25000' AND Flow = 'M') OR (Fob value > '25000' AND Flow = 'X')
Warning: The field Mode of transport is coded for landings in foreign harbours;Mode of transport NOT LIKE 'WF%'
Warning: Price is 3 fold higher or lower than average price last 12 months;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow ='M' AND (Cif value<(VM_M/3) OR (Cif value>(3*VM_M)))) OR (M.Flow ='X' AND (Fob value<(VM_M/3) OR (Fob value>(3*VM_M)))))
Eurostat checks: Total value must be stricly positive;Fob value<=0
Eurostat checks: Total net mass must be strictly positive;Quantity<=0
Eurostat checks: Existence of doubloons;Table Identifier IN (SELECT H.Table Identifier FROM HRÁAR2019 H JOIN FÆRSLUR2019 F ON F.Custom office = H.Custom office AND F.Storage number = H.Storage number AND RIGHT(F.Month of Customs clearance,2) <> RIGHT(H.Month of Customs clearance,2) WHERE RIGHT(H.Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END)) AND RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END)
Eurostat checks: Period field is not always provided;Date of Customs clearance IS NULL OR RIGHT(Month of Customs clearance,2) IS NULL
Eurostat checks: Period does not belongs to period nomenclature;RIGHT(Month of Customs clearance,2) != (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END)
Eurostat checks: Flow field is not always provided;Flow IS NULL
Eurostat checks: Invalid flow;Flow != 'M' OR Flow != 'X'
Eurostat checks: Empty field is not allowed;Customs tariff number (HS6+2) IS NULL
Eurostat checks: Field Commodity is only 1 digit and is not allowed;LEN(Customs tariff number (HS6+2)) = 1
Eurostat checks: When TARIC is not expected (i.e. Extrastat exports, Intrstat or EFTA): Length of commodity code truncated to 8 digits.;LEN(Customs tariff number (HS6+2)) != 8
Eurostat checks: Invalid commodity codes given on 8 /10 digits from chapters other than 98 / 99 valid at chapter level. Case where the code is not valid for any period.;Customs tariff number (HS6+2) NOT IN (SELECT Customs tariff number (HS6+2) FROM STJÓRN)
Eurostat checks: Invalid commodity codes given on 8 /10 digits from chapters other than 98 / 99 valid at chapter level. Case where the code is however valid for some other period(s).;Customs tariff number (HS6+2) IN (SELECT Customs tariff number (HS6+2) FROM STJÓRN where AR = YEAR(GETDATE()))
Eurostat checks: Invalid code of chapter 99 which can be refined;Customs tariff number (HS6+2) > '99050000' AND Customs tariff number (HS6+2) < '99060000' AND Customs tariff number (HS6+2) > '99190000' AND Customs tariff number (HS6+2) < '99200000' AND Customs tariff number (HS6+2) > '99200000' AND Customs tariff number (HS6+2) < '99210000' AND Customs tariff number (HS6+2) > '99500000' AND Customs tariff number (HS6+2) < '99510000' AND Customs tariff number (HS6+2) > '99510000' AND Customs tariff number (HS6+2) < '99520000'
Eurostat checks: Correction of invalid codes of chapter 99 to the most appropriate junk code (99xxx000);Customs tariff number (HS6+2) > '99200000' AND Customs tariff number (HS6+2) < '99210000'  AND Customs tariff number (HS6+2) <> '99302400' AND Customs tariff number (HS6+2) <> '99302700' AND Customs tariff number (HS6+2) <> '99309900' AND Customs tariff number (HS6+2) <> '99312400' AND Customs tariff number (HS6+2) <> '99312700' AND Customs tariff number (HS6+2) <> '99319900'
Eurostat checks: Partner code is empty;Partner country (Country of origin) IS NULL
Eurostat checks: Partner code is invalid;Partner country (Country of origin) NOT IN (SELECT Partner country (Country of origin) FROM Partner country (Country of origin))
Eurostat checks: Statistical value cannot be negative;(Flow = 'M' AND  Cif value < 0) OR (Flow = 'X' AND Fob value <0)
Eurostat checks: Net mass cannot be negative;Quantity <0
Eurostat checks: Net mass provided whereas forbidden;Customs tariff number (HS6+2) LIKE '98%' OR Customs tariff number (HS6+2) LIKE '99%' AND Quantity <> 0
Eurostat checks: Net mass not provided whereas mandatory;Customs tariff number (HS6+2) NOT LIKE '98%' OR Customs tariff number (HS6+2) NOT LIKE '99%' AND Quantity=0
Eurostat checks: Quantity expressed in Supplementary unit cannot be negative;Supplementary unit <0
Eurostat checks: Net mass is the same as quantity expressed in supplementary unit;Supplementary unit = Quantity
Eurostat checks: Missing QSU where QSU expected;Supplementary unit =0
Eurostat checks: QSU?0 where no QSU is expected (case of a MS);Supplementary unit >0
Eurostat checks: QSU?0 where no QSU is expected (case of EFTA);Supplementary unit >0
Eurostat checks: Liechtenstein is exempted from collection and transmission of quantity expressed in supplementary units (QSU). Therefore no Quantity expressed in supplementary units should be transmitted.;Supplementary unit >0 AND Partner country (Country of origin) = 'LI'
Eurostat checks: Chapter 98's codes are not allowed in Extrastat/EFTA imports;Customs tariff number (HS6+2) = '98%'
Eurostat checks: Invalid code of chapter 99 which cannot be refined (does not respect the structure of Chapter 99).;Customs tariff number (HS6+2) = '99%'
Eurostat checks: Warning requiring confirming that means of payment are not in circulation;Customs tariff number (HS6+2) IN (49070030,49070010,71189000)
Eurostat checks: CN8 code 71082000 (monetary gold) should not be in the file;Customs tariff number (HS6+2) = 71082000
Eurostat checks: Reporting country cannot be the partner;Partner country (Country of origin) <> 'IS'
Eurostat checks: Other partner field must be blank in case of export/dispatches;Partner country (Country of origin) <> '' OR Partner country (Country of origin) IS NOT NULL
Eurostat checks: Other partner field is mandatory for imports in Extrastat and data reported by EFTA countries;Partner country (Country of origin) IS NULL OR Partner country (Country of origin) = ''
Eurostat checks: Case of imports/arrivals : Other partner code is invalid;Partner country (Country of origin) NOT IN (SELECT Partner country (Country of origin) FROM Partner country (Country of origin))
Eurostat checks: Invalid mode of transport;Mode of transport NOT IN (SELECT Mode of transport FROM FLUTNINGSFAR)
Eurostat checks: The field "nature of the transaction" is provided on 1 digit and is valid on the first position.;LEN(Nature of transaction)=1
Eurostat checks: The field "nature of the transaction" is provided at 2 digits ; it is not valid on two digits, but can be refined based on the first digit;Nature of transaction NOT IN (1,2,3,4,5,0)
Eurostat checks: The field "nature of the transaction" is provided at 1 or 2 digits but the first digit is not valid;Nature of transaction NOT IN (1,2,3,4,5,0)
